"PopID" "X_Pops" "Y_Pops" "R90" "R60" "R30" "NSRangeTrans_30" "Elevation" "MAT" "MWMT" "MCMT" "TD" "log.MAP." "log.MSP." "AHM" "SHM" "DD0" "DD5" "NFFD" "bFFP" "eFFP" "FFP" "PAS" "EMT" "EXT" "Eref" "CMD"
"1" 1 314 345 TRUE TRUE TRUE 0 980.592130513954 0.672428020383944 14.1430025142313 -14.5582347630876 28.6981945780054 6.3298703066762 5.73278344858965 19.0883176396727 47.2538232445176 1684.59394619443 1014.6505820076 142.353473865609 155.513781924198 248.210240948554 92.7540561050042 212.685366474376 -43.9626314764185 32.2581835482863 491.027017769002 142.868306709111
"2" 2 307 330 TRUE FALSE FALSE 0 961.84687405407 0.401667947863457 14.1784421018253 -15.3012005578049 29.4755764015175 6.30977091019546 5.72690799496583 18.9058970215658 47.5540474387966 1770.22484183793 1010.68527743144 141.587089229101 155.188293349775 247.683633346288 92.5924736044407 207.135030668662 -44.2379719687043 32.298351407104 485.939704760955 141.705663566029
"3" 3 195 27 TRUE FALSE FALSE 2 1346.55801835201 3.11408274129875 13.8677940762384 -7.35179331010475 21.2201839187243 6.42636989884033 5.41645156549384 21.7477056032322 63.048563835349 915.126363481793 1035.33074977502 153.350026680967 157.874831700732 254.870144027178 97.0145441981251 293.84944264757 -37.4455115007979 32.9485539020462 544.476717363915 251.601050296843
"4" 4 34 357 TRUE FALSE FALSE 0 922.485198354282 -0.39758803886626 13.6209649367473 -15.8720365294661 29.4922818496242 6.28241957027701 5.58623866560488 17.7633900259133 51.9367835692027 1912.65541687571 907.267037037592 134.045721923476 163.368439757449 246.161616451302 82.7820939609602 235.967392673346 -46.7408802755504 31.5909114327855 440.118316978105 155.585066835943
"5" 5 5 84 TRUE FALSE FALSE 1 1028.52713057233 2.5903738497207 13.7335193820905 -9.27763513283289 23.0122395962394 6.5022229134511 5.66355788771292 19.6923979639856 49.463186711927 1096.51141521415 1035.22199625644 152.45993052446 157.969065067695 253.483232536679 95.5072648199175 264.863011435814 -39.7560461669964 32.2781145863184 521.248484186763 178.348395134873
"6" 6 328 96 TRUE TRUE TRUE 0 1294.21527265504 1.9986234486561 13.8483609632926 -10.7062347941485 24.5524092975722 6.46699691302832 5.83787449625772 19.3566885867815 42.3368722452904 1240.69575062063 1011.37180063685 141.480552397939 159.836590991064 248.735195293847 88.9358216028314 247.410338783717 -42.7801813278609 32.3137631656817 527.753190070904 132.44276896632
"7" 7 176 26 TRUE TRUE FALSE 0 1162.20996735531 3.56700547842917 14.3545887940996 -7.22754395989654 21.572441139393 6.67566126262575 5.56886249133954 18.8568495442983 58.329010966836 868.248897733341 1125.58309687816 156.08914817008 158.186054017303 255.550222004202 97.3887989569555 396.514637235299 -37.3486534258563 33.6411715675844 574.229399098831 233.559086004282
"8" 8 225 231 TRUE TRUE TRUE 3 754.738197413875 1.07092927637649 15.1188230463572 -15.5120196474648 30.6327857105256 6.17280028802391 5.67107306079958 23.3742906222943 53.0328937811989 1704.85590703679 1173.28522156205 151.383759127992 146.760294420648 251.416360567468 104.771751680919 158.748712924828 -45.2096349430611 33.0258315004357 510.084543227547 178.341791091192
"9" 9 178 110 TRUE FALSE FALSE 0 1149.87277414561 2.50843498407222 13.5517822492481 -9.33220832859814 22.8769735348781 6.47136636925626 5.70490111045212 20.3134693232962 46.9136103382179 1077.87396256332 1000.02848814507 143.202316576889 161.852309207224 248.352871565472 86.4594902008588 277.66429583676 -40.8433048224324 32.4897183751832 534.106567026118 177.516183095894
"10" 10 253 175 TRUE TRUE TRUE 0 937.831852070089 2.06556909592789 14.6764387780712 -12.2644556320043 26.9417998365921 6.41505977558002 6.04529754658194 19.8013610099931 34.8733709343507 1350.12539516053 1138.3980823487 152.593500747181 148.387723861374 253.220017182946 104.848305532119 149.827929360322 -44.7140224249991 31.5755132964081 511.319190201662 60.9741312223917
"11" 11 10 88 TRUE TRUE FALSE 0 1023.85805048444 2.59599865261595 13.7240381626957 -9.26306402168371 22.9881003884347 6.50209666272158 5.66180060329326 19.700249762619 49.5038811694535 1094.58790046787 1034.71443458429 152.558201108479 157.978652912458 253.526299209232 95.5395884927174 264.493932893441 -39.7313346853215 32.2689475642346 520.904545970725 178.631195191882
"12" 12 173 329 TRUE TRUE TRUE 0 851.170912629203 0.508453280852117 14.3767548923079 -14.8515701578891 29.2320985775935 6.29289628153352 5.72047988446589 19.4997311998235 48.1114413248873 1749.24552860706 1032.61367270255 142.725390586598 155.092921927543 248.483008904237 93.3385397770733 198.738028817032 -44.9333440936946 32.1889278916167 486.281338950475 141.961591424779
"13" 13 77 158 TRUE TRUE TRUE 0 883.751711967988 2.44093258827551 13.3860824001966 -9.7461657806869 23.1328283268119 6.44151791470759 5.54938498530319 20.2991099812124 53.0853450695687 1092.57910146977 984.917628221041 149.423194971371 161.615301784972 252.877040662714 91.3380404138871 274.4859298402 -39.9183932221338 31.9595780478576 503.36833166975 200.922881452803
"14" 14 275 112 TRUE FALSE FALSE 0 1273.34416181088 1.72189279424515 13.7306890410785 -11.7565220133891 25.4838773576955 6.44287719966924 6.02337063902463 18.9515129078936 33.7509853440717 1325.43135961622 1005.61506930053 138.655759183046 158.675258857874 247.637171257886 88.971068607194 180.283813011079 -44.8278120934928 32.155433045483 520.954475703731 65.3558046306405
"15" 15 345 44 TRUE FALSE FALSE 0 1321.31757451634 2.43333383605899 14.5520029303608 -10.0929344458137 24.6430515319317 6.39793286929403 5.71728697815223 21.7812067793165 49.9770562915294 1179.70618975189 1095.24357200471 144.869914456901 157.987756755762 249.28611534884 91.3235766651531 245.163372347119 -41.9652891425306 33.4838798430692 559.674061087171 195.79880622123
